닉네임,내용,날짜,추천 수,답글
배수완,웹툰 보는 사람: 딱딱딱딱 다음 내용 뭔데?? 소설 다본 사람: 딱딱딱딱 다음 내용 뭔데???,2024-08-29 22:54,5604,
확인,"누구보다 빨리 알아차리고,알아차린걸 속아주는게 부모 아닐까하는 생각을 하게 되는 편이었네.... 깊다.",2024-08-29 22:56,3862,
안정상,거 못생... 아니 저 흉물스러운 거대한 로이드 석상은 나중에 화요일 약팔이 웹툰에 나오는거죠?,2024-08-29 22:53,2630,
김주영,???: 눈치채셨군요...그렇다면 진짜 도련님 곁으로 보내드리겠습니다.... ???: 오오 그래 우리 진짜 로이드는 대체 어디ㅇ ???: (서걱),2024-08-29 23:59,2455,
돔스,"언젠가 한 번 풀어야하긴 했지..지금까지 속이고 서로 피 하나 안 섞인 관계지만 로이드와 하비엘이 서로를 믿고 있는 것처럼 로이드는 두 번째 아버지라고, 백작은 두 번째 아들이라고 생각할 수 있었으면...",2024-08-29 23:44,1925,
쿠우,모든 회차가 다 레전드였지만 이게 다시 갱신되네.....개무서움작가님들 진짜...아무튼 사랑한다구요,2024-08-29 23:54,1064,
ooo,아 오늘편 긴장감 ㄹㅈㄷ다 진짜... 그래 아들이 이렇게 달라졌는데 부모님이 이상함을 못느낄리가 없지ㅠㅠㅠㅠㅠ 하비엘도 나름 자기가 지켜줘야할 비밀이라 생각할거같은데... 이렇게 떡밥 복선 까는거 대박이다 하 엔딩이 너무 기대됨,2024-08-29 22:56,940,
우 치로,"무서운건 진짜 로이드는 이세상에 없고어머니,아버지는 그래도.. 내 아들이라고 하는 착한 부모님이 라서 그래서 슬프네.. 그리고 저 눈빛은 진짜 처음봐..",2024-08-29 23:35,842,
js****,와 결국 부모도 확신해버렸네. 하비엘이야 원래 영주 부부랑 영지가 최우선 순위였고 원래 로이드를 극혐했으니 그냥저냥 받아들였는데...과연 영주 부부는 김수호를 어떻게 받아들일까,2024-08-29 23:34,704,
빵뽈,"와 ""이렇게 밝은곳에서 지내고 있어"" 할때 로이드랑 하비엘 코스프레한 애기들 나오네 이제 아이들사이에선 흉내내고 싶은 히어로인거구나ㅜㅜ",2024-08-29 23:34,578,
지조순조,이번화는 너무 슬픔... 전생에도 소고기사주던 친구밖에 없던 김수호가 프론테라에서도 모두를 살리기 위해 목숨까지 바쳤지만 자신의 본질을 알고도 '친구'인 사람은 하비엘밖에 없다는게 갑자기 와닿으니까 로이드가 너무 고독하고도 슬픔..,2024-08-30 01:56,521,
커서머될,웹툰화하면서 소설에선얼렁뚱땅 개그마냥 넘어간 씬들 당위성을 부여하면서 보충하는 장면이 몇 있었는데 이부분도 그러한듯 소설기준에선 의심만 하다 대충넘어가는데 아들이 개과천선 한줄 알았더니 아예 인격이 바꼈는데 독자입장에선 아 그렇구나 하지만 로이드 부모입장의 심정이 부족하다 느꼈는데 잘 바꾼듯,2024-08-29 23:34,457,
전임다,"이야, 개그만 보다가 이렇게 진지해질때면 진짜 분위기가 달라진다....;;;;",2024-08-29 23:35,354,
ksh,중간에 저거 석상 저기 한의사님 프론테라 광장에 있는 그거 아니냐?,2024-08-29 22:57,234,
